Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Cabang Balikpapan,Yuli Yanti,Pos mudah ditemukan dimana saja....dan pos buka pelayanan dari pagi SD malam 10 malam.....trus libur hari besar maupun Minggu tetap buka juga.....pokoknya pelayanan nya memuaskan.....bisa kirim2 mpe luar negeri,5,3 tahun lalu
Kantor Pos Cabang Balikpapan,sapta sunusae,"Pelayanan cepat, karena disini merupakan kantor pos pusat Balikpapan, maka pengiriman paket express next day tidak dibatasi jam (kantor pos cabang hanya menerima sampai jam 12 siang untuk pilihan express). Harga relatif murah, area parkir luas dan lokasi juga mudah dijangkau.",5,6 tahun lalu
Kantor Pos Cabang Balikpapan,Nanda Riza,Keren.. Smua serba mudah. Kirim Paket kirim uang bayar angsuran.. Sat set.. Beres..,5,11 bulan lalu
Kantor Pos Cabang Balikpapan,Ali Ghozi Purnomo,"Vantage banget gedung nya..bersih dan layanan nya ramah

Kirimnya cepet bayar2 lengkap bisa pick up service pula..keren pak pos",5,setahun lalu
Kantor Pos Cabang Balikpapan,Rendra Pribadi,"Untuk segi keamanannya masih kurang, saya sering melihat aparat keamanan yang berjaga. Namun pekerjaannya kadang tidak sesuai dengan apa yang diamanatkan, contoh saja...setiap tamu yg datang pasti tujuannya transaksi atau pengiriman...jadi itu sudah menjadi privasi tiap orang, saat transaksi dengan loket disamping ada orang lain yang nunggu seharusnya kan antri dibelakang bukan disamping. Ketika saya perhatikan keamanannya sangat kurang memperhatikan pelayanan untuk publik, begitu juga dari kantor pos...pegawainya lebih senyum lagi jangan jutek mukanya. Thanks.",3,4 tahun lalu
Kantor Pos Cabang Balikpapan,Siti Rohidah,Pelayanan bagus.kecepatan pengiriman sesuai waktu yang ditentukan,5,11 bulan lalu
Kantor Pos Cabang Balikpapan,Jamil Pujianto,"Untuk kesekian kalinya kecewa dengan kecepatan antar kantor pos..paket sudah 1 minggu lebih belum juga sampai di tujuan..di tracking di aplikasi tidak ada pergerakan..di tracking di kantor pusat balikpapan infonya paket masih di kantor awal pengiriman..8 hari paket masih di kantor awal pengiriman,,terus harus nunggu berapa lama paket sampai balikpapan...?
Kecepatan antar kantor pos benar - benar parah mengecewakan,tolong di tingkatkan lagi ..",1,4 tahun lalu
Kantor Pos Cabang Balikpapan,pia alvia,"Pengiriman makanan berupa kerupuk pake pos kilat khusus dr Bandung ke Kota Balikpapan tgl 29 juli 19 jam 09.00 WIB trnyata sampai dengan hari blum sampai jg, katanya paling lama 4 hr....pliz deh barang msh ngendon di kantor pos balikpapan 76100 dr kemaren. Pengiriman pk kantor pos bnr2 tdk rekommend, nyesel deh pk pos tau gtu mending pake jasa pengiriman yg lain.",1,6 tahun lalu
Kantor Pos Cabang Balikpapan,rahmat sukamdani,Claim biaya Asuransi Kerusakan part Motor saya Lama banget. Masa Sampai 3 bulan Ga ada kabar dri Kantor Pos. Padahal Biaya ga sampai 300 ribu. Motor saya di kirim dri Tarakan Ke Balikpapan Semua masih Bagus. sampai di balikpapan Standar 1 Patah & Handle Rem Patah. Tolong Komitmennya Kantor Pos.,1,3 tahun lalu
Kantor Pos Cabang Balikpapan,Andy Rezfan,Pelayanan kantornya bagus cuma kurir agak lambat sampai barang paketan gagal 3 kali..,4,2 tahun lalu
Kantor Pos Cabang Balikpapan,Kiki Rezky,"Payah,,,,, sampai sekarang paketku belum d antar juga. Padahal aku lacak pake aplikasi udah nyampe Balikpapan kemarin siang jam 1. Padahal kemarin udah sempatin datang ke kantor pos utk  pengaduan di customer servicenya. Pelayanannya harus lebih lebih lebih di tingkatkan lagi. Kecewa banget sama pos Indonesia",1,6 tahun lalu
Kantor Pos Cabang Balikpapan,Rickno Febrianto,kecewa lewatt mengiriman barang melalui pos.. barang dikirm mengunakan EXPRESS Next Day pengiriman tanggl 6 sept barang belum juga sampai tanggal 11 sept.. udah kacau sekarang pos.. ngk ada alasan apa pun.. KECEWAAAA tidak profesional,1,7 tahun lalu
Kantor Pos Cabang Balikpapan,Fachrul Azis,"Buat pelajaran aja kirim barang kantor pos dsini ongkos pecking 300K. Cuma kirim pc 2 berat 11 kg, Rasa gak percaya lebih2 Dr expedisi yg lain",1,8 tahun lalu
Kantor Pos Cabang Balikpapan,Tri Suliatyaningsih,"Saya kirip paket dokumen yg kilat khusus tgl 19 kata pegawainya paling lambat tgl 22 nyampe. Sampai tgl 27 blm nyampe. Trlalu bnyk keluhan pelanggan pos,cobalah berbenah atw ditutup aja kalau tdk profesional.",1,8 tahun lalu
Kantor Pos Cabang Balikpapan,Stefan Heri,"Parah nih Kantor Pos.. Kirim paket udah 2 minggu blm sampai juga, di lacak di website nya malah gk ada.... hadeh.. gmn mau menang lawan paket swasta..",1,8 tahun lalu
Kantor Pos Cabang Balikpapan,Indah Sutriani,"Kiriman barang sudh sampai 1 minggu yg lalu ga ada di tlp ataupun di antar ke rumah, padahal sudh pake paket express next day... Dan sekarang ga jelas bagaimana keadaan paketannya",1,5 tahun lalu
Kantor Pos Cabang Balikpapan,Rosmawati skm,Apa gunanya tu tlpn klo tdk pernah di angkat. Mempersulit pos indonesia ini. Paketku ke kolaka sdh 11 hari ga sampai2.,1,5 tahun lalu
Kantor Pos Cabang Balikpapan,Deally Octavia,"Pos emng lama ya kl kirim barang? Updatean trackingnya juga stuck ditempat. Ditlpn no sibuk.hmmm, lain kali lwt expedisi lain ajalah",1,5 tahun lalu
Kantor Pos Cabang Balikpapan,nastiti ap,Bad service.paket dtg k balikppn tgl 11 mei 2018 ditunggu smp 19 mei 2018 g diantar2. Ditelpon pun nggak. masa ambil sndiri sih? Kan udah bayar.dasar pemalas makan gaji buta.hati2 yg mau kirim paket ke balikpapan apalagi kalo brgnya agak berat mending pk expedisi lain lbh cepat n terpercaya.,1,7 tahun lalu
Kantor Pos Cabang Balikpapan,fitra rachmad,"Mantab pos Balikpapan,paket bisa d jemput ke rumah, dan buka layanan setiap hari, Bisa bayar pajak listrik air telpon BPJS KESEHATAN, BPJS KETENAGAKERJAAN",5,Diedit 3 tahun lalu
Kantor Pos Cabang Balikpapan,Ozan Pro Gaming,"Kinerja memburik, semoga kedepannya bisa diperbaiki lagi,
Bahkan paket exprres pun lama sampe nya,
Dah 2 kali ke reject, dengan alasan tidak bisa dihubungi, padahal alamat jelas tertera di peket,
saya kirim kalopaket yg ke 3, semoga GX di reject lagi, kalo sering terjadi kendala seperti ini pasti pelanggan bakal pindah ke sebelah, semoga bisa lebih baik lagi, semoga ada gantinaa yg lebih baik dari pos ..",1,5 tahun lalu
Kantor Pos Cabang Balikpapan,mohammad noor,"Transaksi pembayaran sangat mudah, biaya pengiriman kompetetif",5,11 bulan lalu
Kantor Pos Cabang Balikpapan,Eko Budi Utomo,Megah. Pengiriman Surat dan Paket dilayani dengan baik,5,6 tahun lalu
Kantor Pos Cabang Balikpapan,Zamaluddin Idrus,Dari website nya hanya berisi alamat dan identitas kantor bukan informasi mengenai pelacakan ataupun status kiriman pos yang diperlukan oleh pengguna jasa pos. Kesimpulannya kalo website nya hanya begitu begitu aja ya useless dah.... Dibenahi donk pak supaya informatif dan mengenai sasaran sesuai dengan fungsi pos..... pos...... pos.......,2,12 tahun lalu
Kantor Pos Cabang Balikpapan,M. Ali,"Meskipun antri, pelayanan tetap Cepat",4,4 tahun lalu
Kantor Pos Cabang Balikpapan,Dedi Nur hidayat,"Payah pengiriman estimasi 5 hari sampe skrng blm ada kabarnya..
Pokonya nyesal bgt kirim barang pake pos,,",1,6 tahun lalu
Kantor Pos Cabang Balikpapan,Merry Eliza,"2 minggu berlalu, paket kiriman entah dimana rimbanya, di website tidak terlacak, call center tidak bisa di hubungi. Menyesal menggunakan jasa pos indonesia yang tidak profesional.",1,8 tahun lalu
Kantor Pos Cabang Balikpapan,T MF,"Udah paket kilat khusus 3 hari g sampe"", di datangin d kantor nya dan paket udh masuk d suruh besok mau d antar nya dan saya tggu alesannya ribet dan lama. Pdhal sblum di datengin d kantor nya udh saya tlfon 2 kali g di angkat dan bayar pulsa pula meski g di angkat. Akhir nya saya tggu g smpe 15 mnit udh ketmu paketnya.
Cukup sekali ini pake jasa pos. Sya mau pake pos kalo udah beres para pekerja nya",1,7 tahun lalu
Kantor Pos Cabang Balikpapan,Nong Nayya,pelayanan yg memuaskan.. mbak2 loketnya ramah,5,11 bulan lalu
Kantor Pos Cabang Balikpapan,sabar tarihoran,"Merubah paradigma saya tentang kantor pos yang terkesan lelet dan tua, ternyata kantor pos sudah melakukan inovasi sehingga tidak kalah dengan jasa pengiriman lainnya, good job",5,7 tahun lalu
Kantor Pos Cabang Balikpapan,Ali Ghozi Purnomo,Vantage banget gedungnya..bersih dan layanan nya ramah.. bisa order pick up juga..keren pak pos,5,setahun lalu
Kantor Pos Cabang Balikpapan,Juardy Syahputra,"Kouh barang saya tidak di beritahukan sih klw sdah sampai  saya nunggu telpon tidak ada sdang di resinya udah tgl 9/sdah sampai tpi tidak di antarkan ke alamat saya,saya nunggu sampai tgl14 tpi di resi tgl 9/udah diterima barangny diterima syapa ,,tolong klw tdk bisah diantarkan kealamat telpon dong klw sdh ada jangan di diamkan aj sampai lama telpon dong atau gmana",1,7 tahun lalu
Kantor Pos Cabang Balikpapan,Galuh putri,Kesal betul kiriman saya gak sampai2..sudah 2 minggu ini..kalo masalah lebaran dan antre ya jgn sampe 2 minggu masa yang di kirim belakangan barang sudah sampai dirumah,1,5 tahun lalu
