Pos Office Branch,User,Reviews,Rate,Date
Kantorpos Samarinda,Luqmanul Hakeem,"Bagus sih, sayang Parkir liar dipelihara",5,7 tahun lalu
Kantorpos Samarinda,Lucky Cinema,Pelayanannya ramah,5,4 tahun lalu
Kantorpos Samarinda,Anda,Ada kafe dihalaman dimalam hari.,5,5 tahun lalu
Kantorpos Samarinda,fitra rachmad,Buka setiap hari,5,3 tahun lalu
Kantorpos Samarinda,Farid Majedi,Kantor pos besar parkir bayar,4,8 tahun lalu
Kantorpos Samarinda,ery hardani,"Bangunan lama di samarinda, walaupun ada renovasi",5,8 tahun lalu
Kantorpos Samarinda,Siti Aminah,Bagus agak agak sedikit terlambat,3,3 tahun lalu
Kantorpos Samarinda,Fuad,Petugasnya ramah,5,6 tahun lalu
Kantorpos Samarinda,aqsho aufa,Pernah juga jaya pada jamannya,5,5 tahun lalu
Kantorpos Samarinda,Iyeet Official Chanel,Pelayananya ramah tamah,5,6 tahun lalu
Kantorpos Samarinda,Didik wiski saputra,Pelayanan bagus,5,5 tahun lalu
Kantorpos Samarinda,Waston,pelayanan lumayan,4,8 tahun lalu
Kantorpos Samarinda,Maulana ibrahim,Oke,5,setahun lalu
Kantorpos Samarinda,tri wibowo,Pelayanan ramah,4,8 tahun lalu
Kantorpos Samarinda,Heru Ardiansyah,Terimakasih Best kurir di Samarinda,5,7 tahun lalu
Kantorpos Samarinda,Sony Sarsono,"kantor pos Indonesia, jl gajah Mada Samarinda",4,6 tahun lalu
Kantorpos Samarinda,ulis sajja,Tempatnya bernuansa jadul,4,2 tahun lalu
Kantorpos Samarinda,Iqra Mahbara,Cepat dan murah,5,5 tahun lalu
Kantorpos Samarinda,Achmad Badrus,kantor pos bagus,3,8 tahun lalu
Kantorpos Samarinda,Zeni Dwi Ariyanti,Diantar sampai rumah,5,6 tahun lalu
Kantorpos Samarinda,Yani Sarbi,Tanggapan lambat,2,5 tahun lalu
Kantorpos Samarinda,muhammad muhlis,Sangat mrmbantu,5,5 tahun lalu
Kantorpos Samarinda,Adhe T Saputra,Pelayanan bagus,5,7 tahun lalu
Kantorpos Samarinda,AGUNG MUKTI WIBOWO,Agak panas ya di luar,3,8 tahun lalu
Kantorpos Samarinda,Samsul,sangat lama,1,Diedit 6 tahun lalu
Kantorpos Samarinda,Dudin Nurizra,Samarinda 75000,5,setahun lalu
Kantorpos Samarinda,Givo Josee,"Mana paket saya? Jangan ditahan. Saya tidak terbiasa. Jadi, orang itu barang penting. Apa yang harus saya lakukan untuk mengirimkannya ke pelanggan agar mereka tahu?",1,setahun lalu
Kantorpos Samarinda,Haris amuuk,"Assalamualaikum..pak, kok paketnya balik lagi ke smd? Bapak punya nomor hp nya? Kok saya nggak ngomong dulu ya.. mohon pengertiannya. Ini mau saya pakai buat lebaran. Nomor hp saya: 082153060340🙏🙏🙏🙏 terima kasih …",3,4 tahun lalu
Kantorpos Samarinda,matius cahyadi,Pelayanannya bagus,3,7 tahun lalu
Kantorpos Samarinda,Nusantoro Nus,Keunggulan layanan,5,5 tahun lalu
Kantorpos Samarinda,Stanley Adrianto,Pos Indonesia semakin baik dalam segala hal.,4,8 tahun lalu
Kantorpos Samarinda,Jara Kada,Tempat ini memiliki kisah sejarah kota ini,4,9 tahun lalu
Kantorpos Samarinda,Jayus Jaylaeni,Pelayanan bagus... Cepat,5,5 tahun lalu
Kantorpos Samarinda,Juku Eja,B aja,3,4 tahun lalu
