Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Indonesia Makassar,Frigate Rario,"Waktu datang ke loket filateli, orangnya tidak ada. Setidaknya ada seseorang yg bisa menangani selagi pegawainya sedang tidak ada. Mengecewakan.",2,8 tahun lalu
Kantor Pos Indonesia Makassar,Pecinta Al-Qur'an,"Kalau surat dari google adsense biasanya dicek dimana?
Karena google kirim tanpa no resi.",4,4 tahun lalu
Kantor Pos Indonesia Makassar,william,Ada drive thru tapi ga ada petugasnya. Percuma donk inovasinya,4,3 tahun lalu
Kantor Pos Indonesia Makassar,Supratno SM,IMPI (Ikatan motor pos indonesia),5,6 tahun lalu
Kantor Pos Indonesia Makassar,Fadhliyah Muh. Yusuf,"parkiranx luas, ada masjidnya juga, tukang parkirnya ramah",4,2 tahun lalu
Kantor Pos Indonesia Makassar,Sari Juni16,"Sangat membantu ,hari minggu pos pusat juga terbuka melayani pelanggan",5,5 tahun lalu
Kantor Pos Indonesia Makassar,Susana Susan,Menyediakan jasa packing jadi kita tidak perlu capek2 buat ngepacking dirumah,5,6 tahun lalu
Kantor Pos Indonesia Makassar,januar rusdiana,salah satu kantor yang masih mempertahankan keindahan bentuk arsitektur lamanya...,5,9 tahun lalu
Kantor Pos Indonesia Makassar,Shabir Gani,Pelayanan sudah mantap,5,5 tahun lalu
Kantor Pos Indonesia Makassar,بهرالله حرل,"Mantap Tawwa layanan jemput paketnya
Hub no hp 082188288996",5,4 tahun lalu
Kantor Pos Indonesia Makassar,Node Channel,Apakah bisa bayar pajak kendaraan dari sulawesi tengah?,2,2 tahun lalu
Kantor Pos Indonesia Makassar,SyaChy RezAnJu Adji,Pelayanan cepat dan wajib antri biar tertib,5,2 tahun lalu
Kantor Pos Indonesia Makassar,Opank Rock,Tempat bersejarah dan semua pegawai melayani dengan ramah dan sopan,5,6 tahun lalu
Kantor Pos Indonesia Makassar,Mursalim Moel,Pelayanan poolll 👍 …,5,setahun lalu
Kantor Pos Indonesia Makassar,Yost Satriani,"Pelayanan sangat bagus n cepat,tertib n tenang, lokasi jg sangat bagus",4,7 tahun lalu
Kantor Pos Indonesia Makassar,zrvx.,barang sampai sekarang dari jakarta belum sampai hebat sekali yaa,1,6 tahun lalu
Kantor Pos Indonesia Makassar,D'Sila,Salahsatu gedung bersejarah yg mempunyai arsitektur klasik.,4,8 tahun lalu
Kantor Pos Indonesia Makassar,ummu athiyah,Kak ada ematerai?,5,11 bulan lalu
Kantor Pos Indonesia Makassar,Noer Zet,"Dah lumayan professional lah pelayanannya, cepat dan tertib",5,6 tahun lalu
Kantor Pos Indonesia Makassar,Riris Napitupulu,Petugasnya ramah,5,setahun lalu
Kantor Pos Indonesia Makassar,mutiah humaerah,Jaya terus pos indonesia,5,8 bulan lalu
Kantor Pos Indonesia Makassar,Faathir Muhammad,Semua karyawan pada ramah tamah,5,2 tahun lalu
Kantor Pos Indonesia Makassar,juniar eko chrissanto,Beli materai 6000 x 15 = 90000,4,7 tahun lalu
Kantor Pos Indonesia Makassar,AKUSIAPAMAS OFFICIAL,Berapa harga perkilo untuk pengiriman ke jepang?,2,5 tahun lalu
Kantor Pos Indonesia Makassar,Abdi Trifandi Putra,Loket banyak cuman di pake 1,1,2 tahun lalu
Kantor Pos Indonesia Makassar,Fachran Fahiran (Fachran),"Lelet pake banget sumpah, seriusan. Gak boong",1,4 tahun lalu
Kantor Pos Indonesia Makassar,Andi Nurlaela,sdh rapi..dan pelayanan sangat baguss,5,5 tahun lalu
Kantor Pos Indonesia Makassar,angriawan sigit,Terima kasih krn buka saat hari libur,5,4 tahun lalu
Kantor Pos Indonesia Makassar,Lydia Katrien,Bisa bayar semua,5,2 tahun lalu
Kantor Pos Indonesia Makassar,Hajjadeing SH,Pelayanannya Mantap,5,3 tahun lalu
Kantor Pos Indonesia Makassar,joe mirnoto,Desain kantornya makin kekinian,5,5 tahun lalu
Kantor Pos Indonesia Makassar,Silva Elsye,"Pelayanan cepat
Staf ramah",5,4 tahun lalu
Kantor Pos Indonesia Makassar,Diego Y. E.,Pelayanan ok,5,2 tahun lalu
Kantor Pos Indonesia Makassar,Muhammad Arif,Kantor pos terbesar di sulawesi selatan,4,7 tahun lalu
Kantor Pos Indonesia Makassar,Wiratama Tito,Berkali kali ditelpon tidak diangkat. Buruk sekali.,1,5 tahun lalu
Kantor Pos Indonesia Makassar,Marlin mrn,Pelayanan ramah,5,3 tahun lalu
Kantor Pos Indonesia Makassar,Lukmanul Harun,Agak sedikit lambat,5,3 tahun lalu
Kantor Pos Indonesia Makassar,meyvie indriani,Pelayananx bagus,5,5 tahun lalu
Kantor Pos Indonesia Makassar,Aldrin Andre,Baik.,5,3 tahun lalu
Kantor Pos Indonesia Makassar,hasir john,pelayanan anjing,1,5 tahun lalu
Kantor Pos Indonesia Makassar,Zul Kifli,Webnya stuck lelet,1,6 tahun lalu
Kantor Pos Indonesia Makassar,Surga Neraka,"Orngx ramah""..",5,2 tahun lalu
Kantor Pos Indonesia Makassar,Putrapan17 Video,Cepat & aman,5,7 tahun lalu
Kantor Pos Indonesia Makassar,Hidayat Malik,Mantap,5,3 tahun lalu
Kantor Pos Indonesia Makassar,Awhin,Kantor pos Besar makassar,5,8 tahun lalu
Kantor Pos Indonesia Makassar,Hunter Mimin,Bagus,5,4 tahun lalu
Kantor Pos Indonesia Makassar,Roy Prasetyo,Lambat,1,4 tahun lalu
Kantor Pos Indonesia Makassar,edyjofan Randi,Kantor pos,5,4 tahun lalu
Kantor Pos Indonesia Makassar,Alamsyah Darwis,Baik,5,3 tahun lalu
Kantor Pos Indonesia Makassar,Arfandy Ipan,Mantap,5,4 tahun lalu
Kantor Pos Indonesia Makassar,Cinta kahar odjy Dinda safana faira,Mantap,4,4 tahun lalu
Kantor Pos Indonesia Makassar,indy gaffar,Bagus,5,6 tahun lalu
Kantor Pos Indonesia Makassar,Wynne Wijaya,Pelayanan prima.,5,3 tahun lalu
Kantor Pos Indonesia Makassar,John Wick,Apakah layanan MoneyGram tersedia di kantor pos Anda?,5,2 tahun lalu
Kantor Pos Indonesia Makassar,NHP,"Akhirnya, ini pertama kalinya aku melihat Kantor Pos secara keseluruhan. Bagus.",3,6 tahun lalu
Kantor Pos Indonesia Makassar,Mikha Marthen,Salah satu bangunan tua yang masih dilestarikan dan masih berfungsi.,4,5 tahun lalu
Kantor Pos Indonesia Makassar,arifk mks,Ada masjid di area kantor,5,2 tahun lalu
Kantor Pos Indonesia Makassar,HAMKA S PdI M Pd,Masjidnya sepi.,5,3 tahun lalu
Kantor Pos Indonesia Makassar,Alyzza Putri,Bagus,4,setahun lalu
Kantor Pos Indonesia Makassar,Sayed Sajjad,Kantor Pos Pusat di Makassar,5,4 tahun lalu
Kantor Pos Indonesia Makassar,Rendy M. Suseno,Kantor pos terbaik,5,6 tahun lalu
Kantor Pos Indonesia Makassar,Akil Imam,Oke,4,3 tahun lalu
