Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Banjarmasin,ZAINATUS SORAYA,"""alhamdulillah pelayanan nya baik mas nya juga sopan, ramah and good looking 🥰 dan kiriman saya datang nya cepat"" …",5,5 tahun lalu
Kantor Pos Banjarmasin,Della Agustina,Untuk pengurusan legalisir berkas petugasnya sangat ramah dan enak diajak ngobrol.,5,3 tahun lalu
Kantor Pos Banjarmasin,Heru,"Bagi yang ingin mengambil surat atau paket yg belum sampai ke alamat , bisa menanyakan atau mengambilnya di bagian pengantaran di gedung belakang",4,7 tahun lalu
Kantor Pos Banjarmasin,nur hamidah,"Pelayan kurang ramah, semoga karyawannya bsa lebih baik lagi dlm memberikan pelayanan",1,2 tahun lalu
Kantor Pos Banjarmasin,nadia nad,"pengiriman cepat, dan pelayanannya ramah",5,11 bulan lalu
Kantor Pos Banjarmasin,Khalqiannur “amang amun”,"Setiap membeli pesanan pasti jaga di antar sampai ke rumah,pasti di suruh ambil,benci dah sama kantor pos",1,9 tahun lalu
Kantor Pos Banjarmasin,Vuji Arini,Tempatx bersih dan nyaman dan pelayanannya bagus dan memuaskan,5,11 bulan lalu
Kantor Pos Banjarmasin,Hubbun Nabi Pajaran,"Lambat

Cek di online, barang sudah Sampai di Pos. Tapi sampai 3 hari kok belum sampai ke rumah.

Kecewaaaaaaa",1,8 tahun lalu
Kantor Pos Banjarmasin,Aditya Pratama,Lama! Barang sudah tiba 10 hari yang lalu tp blm smpai ke alamat padahal pkai pos kilat..,1,6 tahun lalu
Kantor Pos Banjarmasin,Ridhar Shalahuddin,"Harapannya nanti tempat dan pelayanannya lebih baik
Jam 9.47 msih sedikit ptgas yg ada",5,4 tahun lalu
Kantor Pos Banjarmasin,Ningrum 09,"Beli materai kaya orang mau minta2, kalau gak ngerti kerjaan CS gak usah kerja. Judes nya kaya bukan manusia aja.",1,4 tahun lalu
Kantor Pos Banjarmasin,Muhammad Hasan,"Sangat lambat dalam pengiriman, padahal cuman dari surabaya ke bjm, lebih 5 hari, hedehhh",2,6 tahun lalu
